Core,ID,area,zone,transect,camera,Year ,index_y,Month,Day,Season,Age Class,Symbol,Brood size,MaleChick,FemaleChick
13,20191230-DPNHSCT4-IMAG0125,DPN,Interior,HS,CT4,2019,1,12,30,Breeding,Single Female,F,0,0,0
43,20191213-DPNHSCT5-IMAG0079,DPN,Interior,HS,CT5,2019,1,12,13,Breeding,Single Female,F,0,0,0
45,20191218-DPNHSCT5-IMAG0091,DPN,Interior,HS,CT5,2019,1,12,18,Breeding,Single Female,F,0,0,0
199,20191127-DPNHSKCT4-IMAG0136,DPN,Interior,HSK,CT4,2019,1,11,27,Breeding,Single Female,F,0,0,0
201,20190828-DPNHSKCT4-IMAG0147,DPN,Interior,HSK,CT4,2019,1,11,28,Breeding,Single Female,F,0,0,0
202,20190828-DPNHSKCT4-IMAG0186,DPN,Interior,HSK,CT4,2019,1,11,28,Breeding,Single Female,F,0,0,0
355,20191213-DPNMMRCT2-IMAG0074,DPN,Edge,MMR,CT2,2019,1,12,13,Breeding,Single Female,F,0,0,0
356,20191216-DPNMMRCT2-IMAG0084,DPN,Edge,MMR,CT2,2019,1,12,16,Breeding,Single Female,F,0,0,0
358,20191220-DPNMMRCT2-IMAG0126,DPN,Edge,MMR,CT2,2019,1,12,20,Breeding,Single Female,F,0,0,0
621,20191212-DPNMMRCT4-IMAG0765,DPN,Interior,MMR,CT4,2019,1,12,12,Breeding,Single Female,F,0,0,0
638,20191125-DPNMMRCT5-IMAG0099,DPN,Interior,MMR,CT5,2019,1,11,25,Breeding,Single Female,F,0,0,0
639,20191125-DPNMMRCT5-IMAG0099,DPN,Interior,MMR,CT5,2019,1,11,25,Breeding,Single Female,F,0,0,0
640,20191125-DPNMMRCT5-IMAG0099,DPN,Interior,MMR,CT5,2019,1,11,25,Breeding,Single Female,F,0,0,0
642,20191206-DPNMMRCT5-IMAG0232,DPN,Interior,MMR,CT5,2019,1,12,6,Breeding,Single Female,F,0,0,0
1321,20191227-TPLTPL01CT1-IMAG0116,TPL,Edge,TPL01,CT1,2019,1,12,27,Breeding,Single Female,F,0,0,0
1322,20191231-TPLTPL01CT1-IMAG0121,TPL,Edge,TPL01,CT1,2019,1,12,31,Breeding,Single Female,F,0,0,0
2127,20191207-WLHLRCT2-IMAG0082,WL,Edge,HLR,CT2,2019,1,12,7,Breeding,Single Female,F,0,0,0
2128,20191207-WLHLRCT2-IMAG0082,WL,Edge,HLR,CT2,2019,1,12,7,Breeding,Single Female,F,0,0,0
2129,20191207-WLHLRCT2-IMAG0085,WL,Edge,HLR,CT2,2019,1,12,7,Breeding,Single Female,F,0,0,0
3031,20191121-WLHTPCT1-IMAG0037,WL,Edge,HTP,CT1,2019,1,11,21,Breeding,Single Female,F,0,0,0
3542,20191202-WLHTPCT2-IMAG0057,WL,Edge,HTP,CT2,2019,1,12,2,Breeding,Single Female,F,0,0,0
3548,20191208-WLHTPCT2-IMAG0067,WL,Edge,HTP,CT2,2019,1,12,8,Breeding,Single Female,F,0,0,0
3552,20191216-WLHTPCT2-IMAG0077,WL,Edge,HTP,CT2,2019,1,12,16,Breeding,Single Female,F,0,0,0
3556,20191221-WLHTPCT2-IMAG0082,WL,Edge,HTP,CT2,2019,1,12,21,Breeding,Single Female,F,0,0,0
3974,20191208-WLHYKCT2-IMAG0039,WL,Edge,HYK,CT2,2019,1,12,8,Breeding,Single Female,F,0,0,0
3978,20191210-WLHYKCT2-IMAG0043,WL,Edge,HYK,CT2,2019,1,12,10,Breeding,Single Female,F,0,0,0
4703,20191122-WLMTLCT6-IMAG0051,WL,Interior,MTL,CT6,2019,1,11,22,Breeding,Single Female,F,0,0,0
4704,20191122-WLMTLCT6-IMAG0051,WL,Interior,MTL,CT6,2019,1,11,22,Breeding,Single Female,F,0,0,0
4803,20191204-WLSBMCT1-IMAG0119,WL,Edge,SBM,CT1,2019,1,12,4,Breeding,Single Female,F,0,0,0
